licence_key,state,licence_id,name,name_norm,address,city,zip,licence_type,expiry,lat,lon,geom,source_url,observed_at,addr_norm
NJ/ERF000213/1,NJ,ERF000213,TONYS BOULEVARD SERVICE LLC,TONYSBOULEVARDSERVICE,547 NEWARK POMPTON TURNPIKE,POMPTON PLNS,07444,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,547NEWARKPOMPTONTPKE
NJ/ERF000225/1,NJ,ERF000225,COVI INC*,COVI,198 E MAIN ST,ROCKAWAY,07866,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,198EMAINST
NJ/ERF000230/1,NJ,ERF000230,ARLONG INC *,ARLONG,353 BLACKWOOD RD,LINDENWOLD,08021,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,353BLACKWOODRD
NJ/ERF000238/1,NJ,ERF000238,JD AUTOMOTIVE & TRUCK INC,JDAUTOMOTIVETRUCK,2 BEATTY STREET,DOVER,07801,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,2BEATTYST
NJ/ERF000256/1,NJ,ERF000256,DONS AUTO REPAIR INC,DONSAUTOREPAIR,45 BEAVER AVENUE PO BOX 73,ANNANDALE,08801,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,45BEAVERAVE
NJ/ERF000268/1,NJ,ERF000268,THREE STAR AUTO SERVICE,THREESTARAUTOSERVICE,153 PROSPECT PLAINS RD,MONROE,08831,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,153PROSPECTPLAINSRD
NJ/ERF000270/1,NJ,ERF000270,JACK'S AUTO,JACKSAUTO,2395 LAMINGTON RD POB349,BEDMINSTER,07921,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,2395LAMINGTONRDPOB349
NJ/ERF000278/1,NJ,ERF000278,JONES BOYS AUTO ELECTRIC,JONESBOYSAUTOELECTRIC,407 BAYSHORE ROAD,DEL HAVEN,08251,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,407BAYSHORERD
NJ/ERF000279/1,NJ,ERF000279,FACTORY TUNE AUTO INC,FACTORYTUNEAUTO,1321 N.BLACKHORSE PIKE,WILLIAMSTOWN,08094,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1321NBLACKHORSEPIKE
NJ/ERF000304/1,NJ,ERF000304,VIP CYCLES AND SPORT CTR IN,VIPCYCLESSPORTCTRIN,700 ROUTE 22 EAST,N PLAINFIELD,07060,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,700RT22E
NJ/ERF000306/1,NJ,ERF000306,DE BOERS AUTO INC,DEBOERSAUTO,83 RT 23,HAMBURG,07419,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,83RT23
NJ/ERF000315/1,NJ,ERF000315,TOMS FORD INC*,TOMSFORD,200 HWY 35,KEYPORT,07735,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,200HWY35
NJ/ERF000317/1,NJ,ERF000317,AMRCN TIRE&AUTO CARE OF FL,AMRCNTIREAUTOCAREFL,76 CHURCH STREET,FLEMINGTON,08822,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,76CHURCHST
NJ/ERF000320/1,NJ,ERF000320,PATHWAY CAR CARE INC,PATHWAYCARCARE,1600 PRINCETON AVE,LAWRENCEVILLE,08648,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1600PRINCETONAVE
NJ/ERF000333/1,NJ,ERF000333,WELSHS MOTOR SALES INC*,WELSHSMOTORSALES,36 DUMONT RD PO BOX 5,FAR HILLS,07931,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,36DUMONTRD
NJ/ERF000335/1,NJ,ERF000335,CRANFORD SUNOCO CENTER INC,CRANFORDSUNOCOCENTER,361 CENTENNIAL A,CRANFORD,07016,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,361CENTENNIALA
NJ/ERF000337/1,NJ,ERF000337,AMRCN TIRE&AUTO CARE OF CH,AMRCNTIREAUTOCARECH,165 RT 206 & 35 MAPLE AVE,CHESTER,07930,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,165RT20635MAPLEAVE
NJ/ERF000338/1,NJ,ERF000338,CARLOS AUTO REPAIR INC,CARLOSAUTOREPAIR,1741 PRINCETON AVE,LAWRENCEVILLE,08648,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1741PRINCETONAVE
NJ/ERF000396/1,NJ,ERF000396,LANDING AUTO CENTER,LANDINGAUTOCENTER,99 MT ARLINGTON BLVD,LANDING,07850,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,99MTARLINGTONBLVD
NJ/ERF000408/1,NJ,ERF000408,PDP INC.,PDP,615 JERSEY AVE.,SPRING LAKE,07762,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,615JERSEYAVE
NJ/ERF000422/1,NJ,ERF000422,HOLIDAY SERVICE CTR INC,HOLIDAYSERVICECTR,ROUTE 37 W & SUMNER AVENUE,TOMS RIVER,08755,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,RT37WSUMNERAVE
NJ/ERF000445/1,NJ,ERF000445,B & E SERVICE INC.,BESERVICE,86 KLOCKNER RD.,TRENTON,08619,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,86KLOCKNERRD
NJ/ERF000467/1,NJ,ERF000467,J L AUTOMOTIVE,JLAUTOMOTIVE,339 ROUTE 539,CREAM RIDGE,08514,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,339RT539
NJ/ERF000471/1,NJ,ERF000471,COMPETITIVE AUTOMOTIVE,COMPETITIVEAUTOMOTIVE,427 N MAIN ST,MANVILLE,08835,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,427NMAINST
NJ/ERF000475/1,NJ,ERF000475,DITMIRE MOTORWORKS INC,DITMIREMOTORWORKS,425 WHITE HORSE POB 525,ABSECON,08201,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,425WHITEHORSEPOB525
NJ/ERF000495/1,NJ,ERF000495,RAYS RUN WON CORP,RAYSRUNWON,286 INMAN AVE,COLONIA,07067,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,286INMANAVE
NJ/ERF000498/1,NJ,ERF000498,COMMUNITY AUTO SERVICE INC,COMMUNITYAUTOSERVICE,424 NEW MARKET RD,PISCATAWAY,08854,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,424NEWMARKETRD
NJ/ERF000511/1,NJ,ERF000511,NICTOS SERVICE INC*,NICTOSSERVICE,52 58 KEARNY AVE,KEARNY,07032,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,5258KEARNYAVE
NJ/ERF000522/1,NJ,ERF000522,BUD AND WALTS SERV*,BUDWALTSSERV,244 RT 23,HAMBURG,07419,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,244RT23
NJ/ERF000525/1,NJ,ERF000525,THE PORT AUTH OF NY & NJ,PORTAUTHNYNJ,BLDG 11-AIRPORT STREET,NEWARK,07114,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,
NJ/ERF000527/1,NJ,ERF000527,THE PORT AUTH OF NY & NJ,PORTAUTHNYNJ,777 JERSEY AVENUE,JERSEY CITY,07310,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,777JERSEYAVE
NJ/ERF000533/1,NJ,ERF000533,RAINEYS SERVICENTER,RAINEYSSERVICENTER,498 ELK RD,MONROEVILLE,08343,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,498ELKRD
NJ/ERF000544/1,NJ,ERF000544,MONTYS TIRE & AUTO CNTR LLC,MONTYSTIREAUTOCNTR,1268 N DELSEA DR,VINELAND,08360,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1268NDELSEADR
NJ/ERF000548/1,NJ,ERF000548,CLARKS AUTO REPAIR,CLARKSAUTOREPAIR,633 BLK HRS PI,WILLIAMSTOWN,08094,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,633BLKHRSPI
NJ/ERF000586/1,NJ,ERF000586,BC TIRE SERVICE INC,BCTIRESERVICE,1266 STELTON RD,PISCATAWAY,08854,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1266
NJ/ERF000623/1,NJ,ERF000623,C AND P AUTO,CPAUTO,141 KINGS HWY,MT ROYAL,08061,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,141KINGSHWY
NJ/ERF000649/1,NJ,ERF000649,MIKES FOREIGN CAR RPR LLC,MIKESFOREIGNCARRPR,601 RT 9,BAYVILLE,08721,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,601RT9
NJ/ERF000651/1,NJ,ERF000651,GLENN MOHRFELDS SHELL STA,GLENNMOHRFELDSSHELLSTA,1605 N KINGS HWY,CHERRY HILL,08034,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1605NKINGSHWY
NJ/ERF000653/1,NJ,ERF000653,OCEAN AUTO TECH INC,OCEANAUTOTECH,175 BRICK BL,BRICKTOWN,08723,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,175BRICKBL
NJ/ERF000674/1,NJ,ERF000674,T & D AUTO REPAIRS,TDAUTOREPAIRS,116 TENNENT ROAD,MORGANVILLE,07751,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,116TENNENTRD
NJ/ERF000705/1,NJ,ERF000705,KREHEL AUTOMOTIVE REPAIR IN,KREHELAUTOMOTIVEREPAIRIN,955 PAULISON AVENUE,CLIFTON,07011,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,955PAULISONAVE
NJ/ERF000723/1,NJ,ERF000723,PLATT'S PERFORMANCE PLUS,PLATTSPERFORMANCEPLUS,46 LINCOLN AVE.,JAMESBURG,08831,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,46LINCOLNAVE
NJ/ERF000732/1,NJ,ERF000732,SADOWSKIS AUTO CARE LLC,SADOWSKISAUTOCARE,586-590 RIDGE ROAD,N. ARLINGTON,07031,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,586590RIDGERD
NJ/ERF000782/1,NJ,ERF000782,LAKELAND AUTOMOTIVE INC,LAKELANDAUTOMOTIVE,730 RTE 23,POMPTON PLNS,07444,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,730RT23
NJ/ERF000810/1,NJ,ERF000810,MERMON INC,MERMON,4400 BERGEN TPK,NORTH BERGEN,07047,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,4400BERGENTPKE
NJ/ERF000816/1,NJ,ERF000816,STILLWELL GARAGE INC,STILLWELLGARAGE,172 JACKSON STREET,MATAWAN,07747,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,172JACKSONST
NJ/ERF000840/1,NJ,ERF000840,4-A AUTOMOTIVE INC,4AAUTOMOTIVE,2590 PLFD AVE,SCOTCH PLNS,07076,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,2590PLFDAVE
NJ/ERF000841/1,NJ,ERF000841,WEST SIDE TIRE & AUTO INC,WESTSIDETIREAUTO,236 WESTSIDE AVE,JERSEY CITY,07305,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,236WESTSIDEAVE
NJ/ERF000848/1,NJ,ERF000848,WEST 10 TIRE CTR INC,WEST10TIRECTR,108 RT 10 W,SUCCASUNNA,07876,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,108RT10W
NJ/ERF000861/1,NJ,ERF000861,JAB AUTOMOTIVE SVC CNTR INC,JABAUTOMOTIVESVCCNTR,200 FORD AVE,FORD,08863,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,200FORDAVE
NJ/ERF000889/1,NJ,ERF000889,NEWTON GULF LLC,NEWTONGULF,106 WOODSIDE AVE,NEWTON,07860,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,106WOODSIDEAVE
NJ/ERF000900/1,NJ,ERF000900,F AND S FRIENDLY SERV INC*,FSFRIENDLYSERV,333 KINDERKAMACK RD,HILLSDALE,07642,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,333KINDERKAMACKRD
NJ/ERF000943/1,NJ,ERF000943,SALVATORE AUTO SERVICE INC,SALVATOREAUTOSERVICE,302 LINCOLN BLVD,MIDDLESEX,08846,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,302LINCOLNBLVD
