edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
842,327865,171611,171610,"LINESTRING(-97.5198970004268 45.3210919996843,-97.5198999999016 45.322540000257)",160.92815587656517,truck_route,S 25,S 25,S,25,SD,4,1454,65,2
843,327878,171539,171541,"LINESTRING(-97.5201219996594 45.3379100002355,-97.5200580000853 45.3391839996187)",141.67907850157837,truck_route,S 25,S 25,S,25,SD,4,4598,267,2
844,327879,171532,171539,"LINESTRING(-97.5201539994464 45.3365489996241,-97.5201490003219 45.3373739997237,-97.5201219996594 45.3379100002355)",151.2978066538555,truck_route,S 25,S 25,S,25,SD,4,4598,267,2
845,327884,171579,171578,"LINESTRING(-97.5199629996507 45.3458719995826,-97.519964000374 45.3473199999404)",160.92868049076813,truck_route,S 25,S 25,S,25,SD,4,1102,97,2
846,327889,171595,171599,"LINESTRING(-97.5199409999094 45.3661500006153,-97.5199369997115 45.3675990000129)",161.04057237253807,truck_route,S 25,S 25,S,25,SD,4,692,134,2
847,327890,171583,171585,"LINESTRING(-97.5199610000009 45.3589079999682,-97.519956999803 45.3603570005517)",161.04049917701562,truck_route,S 25,S 25,S,25,SD,4,692,134,2
848,327894,171571,171568,"LINESTRING(-97.5199680005719 45.35311400016,-97.5199690003969 45.3545630001368)",161.03998173523576,truck_route,S 25,S 25,S,25,SD,4,692,134,2
849,327897,171587,171590,"LINESTRING(-97.5199530005033 45.3618049995827,-97.5199490003053 45.3632530000562)",160.92943028734808,truck_route,S 25,S 25,S,25,SD,4,692,134,2
850,327905,171605,171602,"LINESTRING(-97.5199259998408 45.3733929995799,-97.5199320005869 45.3748410000284)",160.9301367186376,truck_route,S 25,S 25,S,25,SD,4,692,134,2
851,327908,171597,171593,"LINESTRING(-97.5199379995364 45.3762900001664,-97.5199440002825 45.3777379996339)",160.9301095992158,truck_route,S 25,S 25,S,25,SD,4,692,134,2
852,327913,168204,168206,"LINESTRING(-97.6258480007049 45.8745730004637,-97.625829999365 45.8760190006364)",160.727379056001,truck_route,S 27,S 27,S,27,SD,4,644,107,2
853,327915,158694,158770,"LINESTRING(-97.9778849999828 45.7915760002259,-97.9758160002204 45.7915689999283)",160.87414489433792,truck_route,S 10,S 10,S,10,SD,4,782,117,2
854,327922,156643,156881,"LINESTRING(-98.0296799997525 45.7915370006149,-98.0276100001652 45.7915580002643)",160.96699832928354,truck_route,S 10,S 10,S,10,SD,4,782,117,2
855,327947,159606,159653,"LINESTRING(-97.9447740005187 45.7914459997462,-97.942704999858 45.7914350000579)",160.8773585264776,truck_route,S 10,S 10,S,10,SD,4,782,117,2
856,327949,158927,158983,"LINESTRING(-97.9696069994868 45.7915500002795,-97.9681489996447 45.7915449999752,-97.9675379997244 45.7915419996671)",160.87487137891836,truck_route,S 10,S 10,S,10,SD,4,782,117,2
857,327951,158770,158844,"LINESTRING(-97.9758160002204 45.7915689999283,-97.9737459997348 45.791562999941)",160.95147349896268,truck_route,S 10,S 10,S,10,SD,4,782,117,2
858,327958,159220,159294,"LINESTRING(-97.9592600001267 45.7915059997162,-97.9583989999612 45.7915019997202,-97.9571910003643 45.7914980003503)",160.87499524341717,truck_route,S 10,S 10,S,10,SD,4,782,117,2
859,327963,160255,160293,"LINESTRING(-97.9282190002499 45.7913849993973,-97.9261500004876 45.7913810006454)",160.8734224726711,truck_route,S 10,S 10,S,10,SD,4,782,117,2
860,327970,160207,160255,"LINESTRING(-97.9302890007355 45.7913890000281,-97.9282190002499 45.7913849993973)",160.95122138232463,truck_route,S 10,S 10,S,10,SD,4,782,117,2
861,327977,160459,160462,"LINESTRING(-97.9179410004869 45.7913830006477,-97.9178719999915 45.7913830006477)",5.365057883071122,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
862,327980,161518,161573,"LINESTRING(-97.8785259998546 45.7913309999364,-97.8764520000693 45.7913299996211)",161.26176956485838,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
863,327984,160625,160666,"LINESTRING(-97.9095989995184 45.7913620003061,-97.907530999581 45.7913560002965)",160.7965201639966,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
864,327993,161433,161471,"LINESTRING(-97.8826740003234 45.7913329999406,-97.8805999996398 45.7913319996253)",161.26183364418458,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
865,328003,161849,161893,"LINESTRING(-97.8640069997362 45.7912620000619,-97.8627809996977 45.7912660007015,-97.861932999951 45.7912699994616)",161.26445331267098,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
866,328004,162100,162147,"LINESTRING(-97.8536360000868 45.7913020001811,-97.8515619994032 45.7913069998808)",161.26283352980636,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
867,328009,162147,162197,"LINESTRING(-97.8515619994032 45.7913069998808,-97.8494880005162 45.79131199958)",161.26267941829374,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
868,328013,162453,162498,"LINESTRING(-97.8370659997494 45.7913240002344,-97.8354260003324 45.7913240002344,-97.8350030007331 45.7913289999321)",160.4110890724646,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
869,328032,163047,163101,"LINESTRING(-97.8081639999552 45.7913839997094,-97.8061790007567 45.7913990000378,-97.8060919998197 45.7913990000378)",161.11507864864365,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
870,328034,163149,163207,"LINESTRING(-97.8040199996843 45.7914110000471,-97.8024859996742 45.7914200003655,-97.8019480004472 45.7914210006792)",161.1102747380863,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
