osm_id,state,state_source
node/10121729551,SC,overture
node/10121729600,SC,overture
node/10121729601,SC,overture
node/10121729966,SC,overture
node/10121729967,SC,overture
node/10121729990,SC,overture
node/10121730014,SC,overture
node/10121978530,SC,nearest truck route
node/10122630446,MI,osm
node/10122675846,NC,osm
node/10127304607,CA,overture
node/10128129931,NC,osm
node/10128929272,GA,osm
node/10129333902,NC,overture
node/10129383765,IL,osm
node/10129383779,IL,osm
node/10129383802,IL,osm
node/10129383898,IL,osm
node/10129383918,IL,osm
node/10129689576,SC,overture
node/1013072831,KS,overture
node/10130915382,GA,osm
node/10131323979,KY,overture
node/10131675756,PA,osm
node/10133254401,CA,nearest truck route
node/10133684355,CO,osm
node/10133870239,CA,osm
node/10134046485,CA,osm
node/10134120317,AL,overture
node/10134148320,LA,nearest truck route
node/10134465918,SC,overture
node/10134486209,IL,osm
node/10134500824,IL,osm
node/10134500888,IL,osm
node/10135930818,MO,overture
node/10135930829,MO,overture
node/10138322280,MO,overture
node/10138684632,AZ,osm
node/10138890448,CA,nearest truck route
node/10139107137,IA,overture
node/10140244179,KY,overture
node/10140474746,GA,overture
node/10141167632,KY,overture
node/10141342755,CA,overture
node/10141445956,OR,overture
node/10141535712,GA,osm
node/10141535713,GA,osm
node/10141535714,GA,osm
node/10141546220,GA,overture
node/1014256257,WI,nearest truck route
node/10143376536,PA,overture
node/10143473465,GA,overture
node/10143473466,GA,overture
node/10144576707,GA,overture
node/10144621618,GA,overture
node/10144621719,GA,nearest truck route
node/10144621818,GA,nearest truck route
node/10144622043,GA,osm
node/10144622044,GA,osm
node/10144622186,GA,osm
node/10144622565,GA,osm
node/10144622601,GA,osm
node/10144622602,GA,overture
node/10144622714,GA,overture
node/10144622715,GA,overture
node/10144622717,GA,overture
node/10144820917,SC,overture
node/10144821017,SC,nearest truck route
node/10144929748,OR,osm
node/10146421851,TX,nearest truck route
node/10146904899,GA,overture
node/10146905036,GA,nearest truck route
node/10146905223,GA,overture
node/10146905230,GA,overture
node/10146905231,GA,overture
node/10146905335,GA,overture
node/10146905336,GA,overture
node/10146905337,GA,overture
node/10146905338,GA,overture
node/10146905760,GA,overture
node/10146905861,GA,overture
node/10146905862,GA,overture
node/10147108034,GA,overture
node/10147108035,GA,overture
node/10147552809,TN,overture
node/10147552810,TN,overture
node/10148586327,AZ,osm
node/1014926312,CO,osm
node/1014926513,CO,nearest truck route
node/1014926559,CO,osm
node/1014926606,CO,overture
node/1014926680,CO,osm
node/10151979617,NH,overture
node/10152350123,TX,overture
node/10152363778,TX,overture
node/10152375259,MS,nearest truck route
node/1015278489,AZ,overture
node/10152787954,NC,overture
node/10153348375,NM,osm
node/10153723539,TN,overture
node/10153723540,TN,overture
node/10153723541,TN,overture
node/10153723542,TN,overture
node/10157352766,NC,osm
node/10158396573,GA,nearest truck route
node/10158418466,CA,overture
node/10158422463,CA,nearest truck route
node/10158422508,CA,osm
node/10158422703,GA,osm
node/10158824995,CA,overture
node/10158905477,NC,osm
node/10158928366,NC,overture
node/1015922173,WV,overture
node/1015924005,WV,overture
node/1015927169,WV,overture
node/10160105076,CA,overture
node/10160402607,CA,overture
node/10160413183,CA,overture
node/10160491355,CA,overture
node/10160666397,GA,overture
node/1016208240,OR,overture
node/10162181052,NC,osm
node/10164025268,NY,nearest truck route
node/10167180579,TX,osm
node/10167404318,CA,nearest truck route
node/10167762897,CA,overture
node/10168206339,CA,overture
node/10169914590,IL,osm
node/10170005510,NC,overture
node/10170073607,CA,overture
node/10170161386,NY,overture
node/10170296271,NC,overture
node/10170382746,NC,overture
node/10170431705,AL,overture
node/10170453353,CA,overture
node/10170632752,NY,overture
node/1017063575,CA,overture
node/10173632950,NY,overture
node/10173791526,NY,overture
node/10174400416,AZ,osm
node/10177560220,MN,nearest truck route
node/10179545198,GA,overture
node/10180090927,CA,overture
node/10181286460,IN,overture
node/10181540877,FL,overture
node/10185224300,MA,osm
node/10185292191,MA,overture
node/10186147204,NC,osm
node/10186236517,RI,overture
node/10187661968,AZ,osm
node/10188280084,FL,overture
node/10188280085,FL,overture
node/10188435052,FL,overture
node/10189045623,KY,osm
node/10189198171,KY,osm
node/1019299074,CA,osm
node/1019422056,AL,overture
node/1019462443,FL,overture
node/1019462971,FL,overture
node/1019463158,FL,overture
node/1019472755,FL,overture
node/10195536298,KY,osm
node/10195727189,MO,osm
node/10196180961,MS,overture
node/10197348147,FL,overture
node/10197348152,FL,overture
node/10197348154,FL,overture
node/10197493561,LA,overture
node/10197493585,LA,overture
node/10197634905,LA,overture
node/10197634906,LA,nearest truck route
node/10197666007,LA,overture
node/10197666013,LA,overture
node/10197726549,LA,overture
node/10198182061,MA,nearest truck route
node/10198577362,LA,overture
node/10198577381,LA,overture
node/10199972774,CA,osm
node/10199972806,CA,osm
node/10200274315,CA,overture
node/10201052567,IN,nearest truck route
node/10202225165,CA,nearest truck route
node/10202770334,MN,osm
node/10204074717,NC,overture
node/10204314952,CA,overture
node/10204539918,TX,overture
node/1020463006,AL,overture
node/1020463015,AL,overture
node/10204733225,CA,nearest truck route
node/10204822613,IA,nearest truck route
node/10204824310,CA,overture
node/10205236765,TN,overture
node/10205710471,NY,overture
node/10205710498,NY,overture
node/10206431769,NY,overture
node/1020805869,MA,overture
node/10208295758,VA,overture
node/10208325987,TX,nearest truck route
node/10208437168,WA,nearest truck route
node/10209103796,NM,nearest truck route
node/10210817544,MI,overture
node/10211306735,MO,overture
node/10212881975,CA,overture
node/10212963333,WA,overture
node/10213233611,NJ,overture
node/1021384119,CO,osm
node/10214823340,VA,nearest truck route
node/10215342027,FL,nearest truck route
node/10215342197,FL,overture
node/10216084411,NV,overture
node/10217210602,TN,nearest truck route
node/10217210603,TN,nearest truck route
node/10217330351,NM,nearest truck route
node/10217330360,NM,nearest truck route
node/10218067525,PA,nearest truck route
node/10219844104,VT,overture
node/10219971318,WY,overture
node/10220688086,CO,osm
node/1022120610,KS,overture
node/1022121200,KS,overture
node/10221430617,AR,overture
node/10221430619,AR,overture
node/10223970274,CA,overture
node/10224461563,AZ,osm
node/10224832765,FL,osm
node/10224946340,FL,osm
node/10225065032,MT,overture
node/10225067314,MT,overture
node/10225387114,FL,overture
node/10226748954,WI,osm
