state,cbp_year,cbp_estab_811111,cbp_estab_811310,shops,shops_on_route,route_miles,miles_per_shop,capture_rate,verdict,computed_at
OK,2022,866,422,188,175,6811.840259847555,36.233192871529546,0.21709006928406466,ok,2026-08-18 12:22:44.037058+00
OR,2022,1107,298,156,148,3695.5400694026775,23.689359419247932,0.14092140921409213,ok,2026-08-18 12:22:44.037058+00
PA,2022,4527,989,539,356,2307.1499691077565,4.280426658827007,0.11906339739341727,ok,2026-08-18 12:22:44.037058+00
RI,2022,334,51,26,17,89.83432361948626,3.4551662930571636,0.07784431137724551,ok,2026-08-18 12:22:44.037058+00
SC,2022,1053,425,189,148,1958.4475868348475,10.362156544099722,0.1794871794871795,ok,2026-08-18 12:22:44.037058+00
SD,2022,379,160,80,76,6433.607355985857,80.42009194982322,0.21108179419525067,real_scarcity,2026-08-18 12:22:44.037058+00
TN,2022,1330,347,273,198,2761.936363894865,10.116983017929908,0.20526315789473684,ok,2026-08-18 12:22:44.037058+00
TX,2022,6152,2175,1364,1273,21983.935984301144,16.117255120455383,0.22171651495448635,ok,2026-08-18 12:22:44.037058+00
UT,2022,816,272,121,119,3492.8242667602703,28.86631625421711,0.1482843137254902,ok,2026-08-18 12:22:44.037058+00
VA,2022,2269,498,264,217,2635.3731304171683,9.98247397885291,0.11635081533715293,ok,2026-08-18 12:22:44.037058+00
VT,2022,331,47,26,15,351.38858484058983,13.514945570791916,0.07854984894259819,ok,2026-08-18 12:22:44.037058+00
WA,2022,1743,402,236,227,5749.391536290626,24.36182854360435,0.13539873780837636,ok,2026-08-18 12:22:44.037058+00
WI,2022,1868,508,275,215,3796.327611915984,13.804827679694487,0.14721627408993576,ok,2026-08-18 12:22:44.037058+00
WV,2022,453,168,70,51,749.6239894718785,10.70891413531255,0.1545253863134658,ok,2026-08-18 12:22:44.037058+00
WY,2022,228,127,77,75,3910.64394177624,50.78758365943169,0.33771929824561403,real_scarcity,2026-08-18 12:22:44.037058+00
