site_id,kind,name,state,truck_spaces,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,last_seen_at,last_seen_src,liveness,live_state,live_presence,live_sources,live_corrob,live_reasons
1832,public_rest_area,Welcome Center WB,OK,15,POINT(-94.8450999996666 36.8762999998877),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1832, ""latitude"": 36.8763, ""longitude"": -94.8451, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44W"", ""nhs_rest_stop"": ""Welcome Center WB"", ""number_of_spots"": 15}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1833,public_rest_area,Kum & Go 891,OK,15,POINT(-95.1475000004222 36.6227000002523),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1833, ""latitude"": 36.6227, ""longitude"": -95.1475, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44W"", ""nhs_rest_stop"": ""Kum & Go 891"", ""number_of_spots"": 15}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1834,public_rest_area,WB KUM & GO,OK,15,POINT(-95.147899999557 36.6242000003326),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1834, ""latitude"": 36.6242, ""longitude"": -95.1479, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44W"", ""nhs_rest_stop"": ""WB KUM & GO"", ""number_of_spots"": 15}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1835,public_rest_area,EZ Go WB EB,OK,95,POINT(-96.6887999998862 35.7519999999658),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1835, ""latitude"": 35.752, ""longitude"": -96.6888, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44 EB WB"", ""nhs_rest_stop"": ""EZ Go WB EB"", ""number_of_spots"": 95}",2026-08-11 21:11:13+00,chain_sites,94,open,100,80,100,{chain_confirmed:Love's}
1836,public_rest_area,E-Z Go,OK,18,POINT(-96.8803999995629 35.7193999999368),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1836, ""latitude"": 35.7194, ""longitude"": -96.8804, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44E"", ""nhs_rest_stop"": ""E-Z Go"", ""number_of_spots"": 18}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1837,public_rest_area,EZ Go Foods #43,OK,30,POINT(-97.8898000004007 35.0813999999113),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1837, ""latitude"": 35.0814, ""longitude"": -97.8898, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44 EB WB"", ""nhs_rest_stop"": ""EZ Go Foods #43"", ""number_of_spots"": 30}",2026-08-11 21:11:13+00,chain_sites,94,open,100,80,100,{chain_confirmed:Love's}
1838,public_rest_area,EZ Go NB SB,OK,8,POINT(-98.4096000002719 34.3700000003676),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OK"", ""county"": "" "", ""OBJECTID"": 1838, ""latitude"": 34.37, ""longitude"": -98.4096, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""40"", ""highway_route"": ""I-44 EB WB"", ""nhs_rest_stop"": ""EZ Go NB SB"", ""number_of_spots"": 8}",2026-08-11 21:11:13+00,chain_sites,94,open,100,80,100,{chain_confirmed:Love's}
1839,public_rest_area,Ohio Turnpike Mahoning Valley Service Plaza,OH,101,POINT(-80.5860999998579 40.9405999996806),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OH"", ""county"": "" "", ""OBJECTID"": 1839, ""latitude"": 40.9406, ""longitude"": -80.5861, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""39"", ""highway_route"": ""I-76W"", ""nhs_rest_stop"": ""Ohio Turnpike Mahoning Valley Service Plaza"", ""number_of_spots"": 101}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
184,public_rest_area,CT Service Plaza- Fairfield NB,CT,29,POINT(-73.2594580004383 41.1458659998317),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""CT"", ""county"": ""Fairfield"", ""OBJECTID"": 184, ""latitude"": 41.145866, ""longitude"": -73.259458, ""mile_post"": ""21"", ""municipality"": ""Fairfield"", ""state_number"": ""09"", ""highway_route"": ""I-95N"", ""nhs_rest_stop"": ""CT Service Plaza- Fairfield NB"", ""number_of_spots"": 29}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1840,public_rest_area,Ohio Turnpike Glacier Hills Service Plaza,OH,108,POINT(-80.5870999999406 40.9385999998289),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""OH"", ""county"": "" "", ""OBJECTID"": 1840, ""latitude"": 40.9386, ""longitude"": -80.5871, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""39"", ""highway_route"": ""I-76E"", ""nhs_rest_stop"": ""Ohio Turnpike Glacier Hills Service Plaza"", ""number_of_spots"": 108}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1841,truck_stop,Clarence Travel Plaza,NY,51,POINT(-78.6007000000462 42.9527999997376),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1841, ""latitude"": 42.9528, ""longitude"": -78.6007, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90W"", ""nhs_rest_stop"": ""Clarence Travel Plaza"", ""number_of_spots"": 51}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1842,public_rest_area,Rest Area EB,NY,20,POINT(-78.332399999865 43.0120999999125),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1842, ""latitude"": 43.0121, ""longitude"": -78.3324, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90E"", ""nhs_rest_stop"": ""Rest Area EB"", ""number_of_spots"": 20}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1843,truck_stop,Angola Travel Plaza EB,NY,40,POINT(-78.9915000000281 42.6336000001359),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1843, ""latitude"": 42.6336, ""longitude"": -78.9915, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90E"", ""nhs_rest_stop"": ""Angola Travel Plaza EB"", ""number_of_spots"": 40}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1844,truck_stop,Angola Travel Plaza WB,NY,26,POINT(-78.9868999996477 42.6379000001911),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1844, ""latitude"": 42.6379, ""longitude"": -78.9869, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90W"", ""nhs_rest_stop"": ""Angola Travel Plaza WB"", ""number_of_spots"": 26}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1845,truck_stop,Clarence Travel Plaza,NY,39,POINT(-78.6007000000462 42.9527999997376),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1845, ""latitude"": 42.9528, ""longitude"": -78.6007, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90W"", ""nhs_rest_stop"": ""Clarence Travel Plaza"", ""number_of_spots"": 39}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1846,truck_stop,Pembroke Travel Plaza,NY,48,POINT(-78.3290299997211 43.0118699997556),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1846, ""latitude"": 43.01187, ""longitude"": -78.32903, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90E"", ""nhs_rest_stop"": ""Pembroke Travel Plaza"", ""number_of_spots"": 48}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1847,truck_stop,Ontario Travel Plaza,NY,31,POINT(-77.9066499999121 43.0308699998899),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1847, ""latitude"": 43.03087, ""longitude"": -77.90665, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90W"", ""nhs_rest_stop"": ""Ontario Travel Plaza"", ""number_of_spots"": 31}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1848,truck_stop,Scottsville Travel Plaza EB,NY,35,POINT(-77.7170999997312 43.0412000002779),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1848, ""latitude"": 43.0412, ""longitude"": -77.7171, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90E"", ""nhs_rest_stop"": ""Scottsville Travel Plaza EB"", ""number_of_spots"": 35}",2019-01-01 00:00:00+00,ntad_parking,32,unknown,35,50,0,{}
1849,public_rest_area,Parking/Rest Area,NY,5,POINT(-78.9377999996293 42.6879999999129),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""NY"", ""county"": "" "", ""OBJECTID"": 1849, ""latitude"": 42.688, ""longitude"": -78.9378, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""36"", ""highway_route"": ""I-90W"", ""nhs_rest_stop"": ""Parking/Rest Area"", ""number_of_spots"": 5}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
